X,400 cell,X,500 cell,,,X,rho
0.79875,0.124978067,0.639,0.30094129,,,0.431854467,0.592405146
0.80125,0.124978067,0.641,0.294376278,,,0.432172057,0.59137467
0.80375,0.124978067,0.643,0.288837277,,,0.432489647,0.590345628
0.80625,0.124978067,0.645,0.284208839,,,0.432807237,0.58931802
0.80875,0.124978067,0.647,0.280380395,,,0.433124827,0.588291843
0.81125,0.124978067,0.649,0.277247777,,,0.433442417,0.587267096
0.81375,0.124978067,0.651,0.274713,,,0.433760007,0.586243778
0.81625,0.124978067,0.653,0.272684286,,,0.434077597,0.585221886
0.81875,0.124978067,0.655,0.271076969,,,0.434395188,0.58420142
0.82125,0.124978067,0.657,0.269814721,,,0.434712778,0.583182378
0.82375,0.124978067,0.659,0.268830696,,,0.435030368,0.582164759
0.82625,0.124978067,0.661,0.26806792,,,0.435347958,0.581148561
0.82875,0.124978067,0.663,0.267479082,,,0.435665548,0.580133782
0.83125,0.124978067,0.665,0.267025817,,,0.435983138,0.579120421
0.83375,0.124978067,0.667,0.266677766,,,0.436300728,0.578108477
0.83625,0.124978067,0.669,0.266410972,,,0.436618318,0.577097948
0.83875,0.124978067,0.671,0.266206808,,,0.436935908,0.576088833
0.84125,0.124978067,0.673,0.266050802,,,0.437253498,0.57508113
0.84375,0.124978067,0.675,0.265931707,,,0.437571089,0.574074837
0.84625,0.124978067,0.677,0.265840942,,,0.437888679,0.573069953
0.84875,0.124978067,0.679,0.265771963,,,0.438206269,0.572066478
0.85125,0.124978067,0.681,0.265719749,,,0.438523859,0.571064408
0.85375,0.124978067,0.683,0.265680379,,,0.438841449,0.570063743
0.85625,0.124978067,0.685,0.26565073,,,0.439159039,0.569064482
0.85875,0.124978067,0.687,0.265628443,,,0.439476629,0.568066622
0.86125,0.124978067,0.689,0.265611722,,,0.439794219,0.567070162
0.86375,0.124978067,0.691,0.265599161,,,0.440111809,0.566075102
0.86625,0.124978067,0.693,0.265589683,,,0.440429399,0.565081438
0.86875,0.124978067,0.695,0.265582627,,,0.44074699,0.564089171
0.87125,0.124978067,0.697,0.265577348,,,0.44106458,0.563098298
0.87375,0.124978067,0.699,0.265573407,,,0.44138217,0.562108818
0.87625,0.124978067,0.701,0.265570481,,,0.44169976,0.561120729
0.87875,0.124978067,0.703,0.26556838,,,0.44201735,0.56013403
0.88125,0.124978067,0.705,0.26556695,,,0.44233494,0.55914872
0.88375,0.124978067,0.707,0.265566086,,,0.44265253,0.558164797
0.88625,0.124978067,0.709,0.26556561,,,0.44297012,0.55718226
0.88875,0.124978067,0.711,0.265565322,,,0.44328771,0.556201106
0.89125,0.124978067,0.713,0.265565102,,,0.4436053,0.555221336
0.89375,0.124978067,0.715,0.265565148,,,0.443922891,0.554242946
0.89625,0.124978067,0.717,0.265565536,,,0.444240481,0.553265936
0.89875,0.124978067,0.719,0.265566292,,,0.444558071,0.552290305
0.90125,0.124978067,0.721,0.265566792,,,0.444875661,0.55131605
0.90375,0.124978067,0.723,0.265566976,,,0.445193251,0.550343171
0.90625,0.124978067,0.725,0.265566704,,,0.445510841,0.549371666
0.90875,0.124978067,0.727,0.265566551,,,0.445828431,0.548401533
0.91125,0.124978067,0.729,0.265563288,,,0.446146021,0.547432771
0.91375,0.124978067,0.731,0.265561652,,,0.446463611,0.546465379
0.91625,0.124978067,0.733,0.265540749,,,0.446781201,0.545499355
0.91875,0.124978067,0.735,0.265530035,,,0.447098792,0.544534697
0.92125,0.124978067,0.737,0.265410427,,,0.447416382,0.543571405
0.92375,0.124978067,0.739,0.265352478,,,0.447733972,0.542609476
0.92625,0.124978067,0.741,0.264692732,,,0.448051562,0.54164891
0.92875,0.124978067,0.743,0.264360186,,,0.448369152,0.540689705
0.93125,0.124978067,0.745,0.260243206,,,0.448686742,0.539731859
0.93375,0.124978067,0.747,0.256530302,,,0.449004332,0.538775371
0.93625,0.124978067,0.749,0.227688658,,,0.449321922,0.537820239
0.93875,0.124978067,0.751,0.188719699,,,0.449639512,0.536866463
0.94125,0.124978067,0.753,0.147609569,,,0.449957102,0.53591404
0.94375,0.124978067,0.755,0.131986707,,,0.450274693,0.534962969
0.94625,0.124978067,0.757,0.126888524,,,0.450592283,0.534013249
0.94875,0.124978067,0.759,0.125479448,,,0.450909873,0.533064879
0.95125,0.124978067,0.761,0.12510753,,,0.451227463,0.532117856
0.95375,0.124978067,0.763,0.125011386,,,0.451545053,0.53117218
0.95625,0.124978067,0.765,0.124986632,,,0.451862643,0.530227848
0.95875,0.124978067,0.767,0.124980268,,,0.452180233,0.529284861
0.96125,0.124978067,0.769,0.124978633,,,0.452497823,0.528343215
0.96375,0.124978067,0.771,0.124978213,,,0.452815413,0.52740291
0.96625,0.124978067,0.773,0.124978105,,,0.453133003,0.526463944
0.96875,0.124978067,0.775,0.124978077,,,0.453450594,0.525526317
0.97125,0.124978067,0.777,0.12497807,,,0.453768184,0.524590025
0.97375,0.124978067,0.779,0.124978068,,,0.454085774,0.523655069
0.97625,0.124978067,0.781,0.124978068,,,0.454403364,0.522721446
0.97875,0.124978067,0.783,0.124978067,,,0.454720954,0.521789155
0.98125,0.124978067,0.785,0.124978067,,,0.455038544,0.520858195
0.98375,0.124978067,0.787,0.124978067,,,0.455356134,0.519928564
0.98625,0.124978067,0.789,0.124978067,,,0.455673724,0.519000261
0.98875,0.124978067,0.791,0.124978067,,,0.455991314,0.518073285
